date,object,value
2005-04-01,debt_service_ext,356
2005-07-01,debt_service_ext,400
2005-10-01,debt_service_ext,572
2006-01-01,debt_service_ext,395
2006-04-01,debt_service_ext,353
2006-07-01,debt_service_ext,376
2006-10-01,debt_service_ext,382
2007-01-01,debt_service_ext,388
2007-04-01,debt_service_ext,327
2007-07-01,debt_service_ext,372
2007-10-01,debt_service_ext,339
2008-01-01,debt_service_ext,288
2008-04-01,debt_service_ext,270
2008-07-01,debt_service_ext,285
2008-10-01,debt_service_ext,312
2009-01-01,debt_service_ext,300
2009-04-01,debt_service_ext,274
2009-07-01,debt_service_ext,296
2009-10-01,debt_service_ext,39
2010-01-01,debt_service_ext,257
2010-04-01,debt_service_ext,30
2010-07-01,debt_service_ext,257
2010-10-01,debt_service_ext,114
2011-01-01,debt_service_ext,234
2011-04-01,debt_service_ext,102
2011-07-01,debt_service_ext,238
2011-10-01,debt_service_ext,109
2012-01-01,debt_service_ext,149
2012-04-01,debt_service_ext,104
2012-07-01,debt_service_ext,149
2012-10-01,debt_service_ext,101
2013-01-01,debt_service_ext,138
2013-04-01,debt_service_ext,100
2013-07-01,debt_service_ext,141
2013-10-01,debt_service_ext,106
2014-01-01,debt_service_ext,137
2014-04-01,debt_service_ext,106
2014-07-01,debt_service_ext,146
2014-10-01,debt_service_ext,110
2015-01-01,debt_service_ext,146
2015-04-01,debt_service_ext,115
2015-07-01,debt_service_ext,161
2015-10-01,debt_service_ext,147
2016-01-01,debt_service_ext,181
2016-04-01,debt_service_ext,132
2016-07-01,debt_service_ext,166
2016-10-01,debt_service_ext,269
2017-01-01,debt_service_ext,108
2017-04-01,debt_service_ext,252
2017-07-01,debt_service_ext,103
2017-10-01,debt_service_ext,242
2018-01-01,debt_service_ext,97
2018-04-01,debt_service_ext,223
2018-07-01,debt_service_ext,97
2018-10-01,debt_service_ext,239
2019-01-01,debt_service_ext,97
2019-04-01,debt_service_ext,237
2019-07-01,debt_service_ext,118
2019-10-01,debt_service_ext,242
2020-01-01,debt_service_ext,127
2020-04-01,debt_service_ext,242
2020-07-01,debt_service_ext,128
2020-10-01,debt_service_ext,228
2021-01-01,debt_service_ext,121
2021-04-01,debt_service_ext,230
2021-07-01,debt_service_ext,125
2021-10-01,debt_service_ext,298
2022-01-01,debt_service_ext,42
2022-04-01,debt_service_ext,307
2022-07-01,debt_service_ext,36
2022-10-01,debt_service_ext,331
2023-01-01,debt_service_ext,37
2023-04-01,debt_service_ext,313
2023-07-01,debt_service_ext,35
2023-10-01,debt_service_ext,335
2024-01-01,debt_service_ext,32
1999-01-01,supplies_services,388
1999-04-01,supplies_services,1244
1999-07-01,supplies_services,1476
1999-10-01,supplies_services,2966
2000-01-01,supplies_services,508
2000-04-01,supplies_services,1348
2000-07-01,supplies_services,1979
2000-10-01,supplies_services,3525
2001-01-01,supplies_services,692
2001-04-01,supplies_services,1842
2001-07-01,supplies_services,2398
2001-10-01,supplies_services,5772
2002-01-01,supplies_services,917
2002-04-01,supplies_services,2972
2002-07-01,supplies_services,3372
2002-10-01,supplies_services,4008
2003-01-01,supplies_services,2031
2003-04-01,supplies_services,3085
2003-07-01,supplies_services,3375
2003-10-01,supplies_services,5477
2004-01-01,supplies_services,2463
2004-04-01,supplies_services,3609
2004-07-01,supplies_services,3849
2004-10-01,supplies_services,6711
2005-01-01,supplies_services,1622
2005-04-01,supplies_services,3818
2005-07-01,supplies_services,4123
2005-10-01,supplies_services,8421
2006-01-01,supplies_services,1717
2006-04-01,supplies_services,4109
2006-07-01,supplies_services,5227
2006-10-01,supplies_services,9870
2007-01-01,supplies_services,2412
2007-04-01,supplies_services,5541
2007-07-01,supplies_services,5775
2007-10-01,supplies_services,9894
2008-01-01,supplies_services,2871
2008-04-01,supplies_services,5782
2008-07-01,supplies_services,6823
2008-10-01,supplies_services,9721
2009-01-01,supplies_services,3162
2009-04-01,supplies_services,6500
2009-07-01,supplies_services,6621
2009-10-01,supplies_services,10089
2010-01-01,supplies_services,3207
2010-04-01,supplies_services,5756
2010-07-01,supplies_services,5836
2010-10-01,supplies_services,9042
2011-01-01,supplies_services,4142
2011-04-01,supplies_services,6580
2011-07-01,supplies_services,6998
2011-10-01,supplies_services,11228
2012-01-01,supplies_services,4966
2012-04-01,supplies_services,7302
2012-07-01,supplies_services,7331
2012-10-01,supplies_services,12363
2013-01-01,supplies_services,4673
2013-04-01,supplies_services,8623
2013-07-01,supplies_services,7626
2013-10-01,supplies_services,12937
2014-01-01,supplies_services,5368
2014-04-01,supplies_services,7802
2014-07-01,supplies_services,7781
2014-10-01,supplies_services,13308
2015-01-01,supplies_services,4867
2015-04-01,supplies_services,9220
2015-07-01,supplies_services,8286
2015-10-01,supplies_services,14000
2016-01-01,supplies_services,5746
2016-04-01,supplies_services,9865
2016-07-01,supplies_services,7990
2016-10-01,supplies_services,6470
2017-01-01,supplies_services,6539
2017-04-01,supplies_services,9053
2017-07-01,supplies_services,7019
2017-10-01,supplies_services,12128
2018-01-01,supplies_services,4900
2018-04-01,supplies_services,9205
2018-07-01,supplies_services,8153
2018-10-01,supplies_services,13024
2019-01-01,supplies_services,5203
2019-04-01,supplies_services,7307
2019-07-01,supplies_services,7040
2019-10-01,supplies_services,11957
2020-01-01,supplies_services,6195
2020-04-01,supplies_services,6776
2020-07-01,supplies_services,8265
2020-10-01,supplies_services,8088
2021-01-01,supplies_services,6240
2021-04-01,supplies_services,7053
2021-07-01,supplies_services,3139
2021-10-01,supplies_services,8492
2022-01-01,supplies_services,6630
2022-04-01,supplies_services,7642
2022-07-01,supplies_services,7852
2022-10-01,supplies_services,12568
2023-01-01,supplies_services,5367
2023-04-01,supplies_services,8439
2023-07-01,supplies_services,8819
2023-10-01,supplies_services,13274
2024-01-01,supplies_services,7048
1999-01-01,subsidies_sa,91
1999-04-01,subsidies_sa,145
1999-07-01,subsidies_sa,246
1999-10-01,subsidies_sa,655
2000-01-01,subsidies_sa,177
2000-04-01,subsidies_sa,295
2000-07-01,subsidies_sa,639
2000-10-01,subsidies_sa,3713
2001-01-01,subsidies_sa,674
2001-04-01,subsidies_sa,671
2001-07-01,subsidies_sa,1336
2001-10-01,subsidies_sa,1871
2002-01-01,subsidies_sa,990
2002-04-01,subsidies_sa,343
2002-07-01,subsidies_sa,431
2002-10-01,subsidies_sa,1913
2003-01-01,subsidies_sa,684
2003-04-01,subsidies_sa,556
2003-07-01,subsidies_sa,673
2003-10-01,subsidies_sa,766
2004-01-01,subsidies_sa,1442
2004-04-01,subsidies_sa,569
2004-07-01,subsidies_sa,761
2004-10-01,subsidies_sa,3023
2005-01-01,subsidies_sa,1799
2005-04-01,subsidies_sa,2078
2005-07-01,subsidies_sa,2876
2005-10-01,subsidies_sa,6635
2006-01-01,subsidies_sa,570
2006-04-01,subsidies_sa,1589
2006-07-01,subsidies_sa,3177
2006-10-01,subsidies_sa,4775
2007-01-01,subsidies_sa,1198
2007-04-01,subsidies_sa,539
2007-07-01,subsidies_sa,2745
2007-10-01,subsidies_sa,5999
2008-01-01,subsidies_sa,6440
2008-04-01,subsidies_sa,6495
2008-07-01,subsidies_sa,10068
2008-10-01,subsidies_sa,12162
2009-01-01,subsidies_sa,5567
2009-04-01,subsidies_sa,3543
2009-07-01,subsidies_sa,3609
2009-10-01,subsidies_sa,7626
2010-01-01,subsidies_sa,2667
2010-04-01,subsidies_sa,5790
2010-07-01,subsidies_sa,3517
2010-10-01,subsidies_sa,11132
2011-01-01,subsidies_sa,5153
2011-04-01,subsidies_sa,7212
2011-07-01,subsidies_sa,7653
2011-10-01,subsidies_sa,16238
2012-01-01,subsidies_sa,8325
2012-04-01,subsidies_sa,10302
2012-07-01,subsidies_sa,6785
2012-10-01,subsidies_sa,18669
2013-01-01,subsidies_sa,8290
2013-04-01,subsidies_sa,9519
2013-07-01,subsidies_sa,8039
2013-10-01,subsidies_sa,17501
2014-01-01,subsidies_sa,9922
2014-04-01,subsidies_sa,10994
2014-07-01,subsidies_sa,7466
2014-10-01,subsidies_sa,11321
2015-01-01,subsidies_sa,7878
2015-04-01,subsidies_sa,6697
2015-07-01,subsidies_sa,5768
2015-10-01,subsidies_sa,6926
2016-01-01,subsidies_sa,9348
2016-04-01,subsidies_sa,6334
2016-07-01,subsidies_sa,4193
2016-10-01,subsidies_sa,4815
2017-01-01,subsidies_sa,8405
2017-04-01,subsidies_sa,5800
2017-07-01,subsidies_sa,3179
2017-10-01,subsidies_sa,4970
2018-01-01,subsidies_sa,8911
2018-04-01,subsidies_sa,6451
2018-07-01,subsidies_sa,5664
2018-10-01,subsidies_sa,6490
2019-01-01,subsidies_sa,6557
2019-04-01,subsidies_sa,6054
2019-07-01,subsidies_sa,5411
2019-10-01,subsidies_sa,5879
2020-01-01,subsidies_sa,7394
2020-04-01,subsidies_sa,1789
2020-07-01,subsidies_sa,2292
2020-10-01,subsidies_sa,8318
2021-01-01,subsidies_sa,5027
2021-04-01,subsidies_sa,5529
2021-07-01,subsidies_sa,3098
2021-10-01,subsidies_sa,9387
2022-01-01,subsidies_sa,7737
2022-04-01,subsidies_sa,10468
2022-07-01,subsidies_sa,15820
2022-10-01,subsidies_sa,33333
2023-01-01,subsidies_sa,15338
2023-04-01,subsidies_sa,19485
2023-07-01,subsidies_sa,13165
2023-10-01,subsidies_sa,29890
2024-01-01,subsidies_sa,13101
1999-01-01,asset_acquisition,9
1999-04-01,asset_acquisition,25
1999-07-01,asset_acquisition,80
1999-10-01,asset_acquisition,309
2000-01-01,asset_acquisition,1
2000-04-01,asset_acquisition,26
2000-07-01,asset_acquisition,63
2000-10-01,asset_acquisition,482
2001-01-01,asset_acquisition,13
2001-04-01,asset_acquisition,87
2001-07-01,asset_acquisition,193
2001-10-01,asset_acquisition,1046
2002-01-01,asset_acquisition,11
2002-04-01,asset_acquisition,141
2002-07-01,asset_acquisition,244
2002-10-01,asset_acquisition,573
2003-01-01,asset_acquisition,303
2003-04-01,asset_acquisition,128
2003-07-01,asset_acquisition,173
2003-10-01,asset_acquisition,805
2004-01-01,asset_acquisition,93
2004-04-01,asset_acquisition,412
2004-07-01,asset_acquisition,277
2004-10-01,asset_acquisition,983
2005-01-01,asset_acquisition,13
2005-04-01,asset_acquisition,91
2005-07-01,asset_acquisition,285
