state,district,stage,sex,date,teachers
Johor,Mersing,primary,female,2020-01-01,494
Johor,Mersing,primary,female,2021-01-01,508
Johor,Mersing,primary,female,2022-01-01,515
Johor,Mersing,primary,female,2023-06-30,513
Johor,Mersing,primary,female,2024-06-30,534
Johor,Mersing,primary,female,2025-06-30,546
Johor,Mersing,primary,male,2017-01-01,323
Johor,Mersing,primary,male,2018-01-01,337
Johor,Mersing,primary,male,2019-01-01,328
Johor,Mersing,primary,male,2020-01-01,331
Johor,Mersing,primary,male,2021-01-01,310
Johor,Mersing,primary,male,2022-01-01,288
Johor,Mersing,primary,male,2023-06-30,272
Johor,Mersing,primary,male,2024-06-30,281
Johor,Mersing,primary,male,2025-06-30,297
Johor,Mersing,secondary,both,2017-01-01,606
Johor,Mersing,secondary,both,2018-01-01,604
Johor,Mersing,secondary,both,2019-01-01,610
Johor,Mersing,secondary,both,2020-01-01,597
Johor,Mersing,secondary,both,2021-01-01,578
Johor,Mersing,secondary,both,2022-01-01,558
Johor,Mersing,secondary,both,2023-06-30,570
Johor,Mersing,secondary,both,2024-06-30,568
Johor,Mersing,secondary,both,2025-06-30,572
Johor,Mersing,secondary,female,2017-01-01,396
Johor,Mersing,secondary,female,2018-01-01,400
Johor,Mersing,secondary,female,2019-01-01,408
Johor,Mersing,secondary,female,2020-01-01,408
Johor,Mersing,secondary,female,2021-01-01,399
Johor,Mersing,secondary,female,2022-01-01,388
Johor,Mersing,secondary,female,2023-06-30,392
Johor,Mersing,secondary,female,2024-06-30,398
Johor,Mersing,secondary,female,2025-06-30,398
Johor,Mersing,secondary,male,2017-01-01,210
Johor,Mersing,secondary,male,2018-01-01,204
Johor,Mersing,secondary,male,2019-01-01,202
Johor,Mersing,secondary,male,2020-01-01,189
Johor,Mersing,secondary,male,2021-01-01,179
Johor,Mersing,secondary,male,2022-01-01,170
Johor,Mersing,secondary,male,2023-06-30,178
Johor,Mersing,secondary,male,2024-06-30,170
Johor,Mersing,secondary,male,2025-06-30,174
Johor,Muar,primary,both,2017-01-01,2384
Johor,Muar,primary,both,2018-01-01,2425
Johor,Muar,primary,both,2019-01-01,2350
Johor,Muar,primary,both,2020-01-01,2331
Johor,Muar,primary,both,2021-01-01,2298
Johor,Muar,primary,both,2022-01-01,2237
Johor,Muar,primary,both,2023-06-30,2199
Johor,Muar,primary,both,2024-06-30,2243
Johor,Muar,primary,both,2025-06-30,2253
Johor,Muar,primary,female,2017-01-01,1694
Johor,Muar,primary,female,2018-01-01,1742
Johor,Muar,primary,female,2019-01-01,1687
Johor,Muar,primary,female,2020-01-01,1673
Johor,Muar,primary,female,2021-01-01,1651
Johor,Muar,primary,female,2022-01-01,1607
