date,volume,value
2024-09-27,86490,253866915.92
2024-09-30,112314,501825019.35
2024-10-01,55356,250561691.39
2024-10-02,164855,474330185.85
2024-10-03,112571,266067119.06
2024-10-04,20237,247185592.86
2024-10-07,101804,315659304.02
2024-10-08,35253,346766210.06
2024-10-09,43204,323288158.43
2024-10-10,172969,335006876.64
2024-10-11,74402,252287435.26
2024-10-14,38873,239647782.79
2024-10-15,28795,312121831.32
2024-10-16,37507,285343929.44
2024-10-17,9718,242429377.21
2024-10-18,12716,193470129.02
2024-10-21,32202,196127009.2
2024-10-22,23916,309159888.41
2024-10-23,39005,249889948.82
2024-10-24,13177,212441212.32
2024-10-25,147645,180255460.98
2024-10-28,163586,322961561.77
2024-10-29,66396,514395606.73
2024-10-30,32753,334460129.11
2024-11-01,91942,205718364.81
2024-11-04,144194,422480957.26
2024-11-05,105144,378473277.3
2024-11-06,75717,370445872.42
2024-11-07,26418,265929801.58
2024-11-08,24740,206747412.4
2024-11-11,210617,289533500.37
2024-11-12,75397,357062008.11
2024-11-13,22984,383221682.38
2024-11-14,30065,261767405.45
2024-11-15,22995,253494876.86
2024-11-18,39693,255193258.42
2024-11-19,19589,278397446.16
2024-11-20,32789,228794038.6
2024-11-21,16017,214265830.24
2024-11-22,14549,220603051.61
2024-11-25,148271,232526622.81
2024-11-26,45357,307953933.69
2024-11-27,109990,368168762.81
2024-11-28,102915,414689064.52
2024-11-29,26794,290280339.15
2024-12-02,136514,320746927.46
2024-12-03,125695,356318700.03
2024-12-04,51868,411135486.51
2024-12-05,111833,202889245.62
2024-12-06,27127,228821535.29
2024-12-09,40482,309070284.26
2024-12-10,199292,448508364.26
2024-12-11,97129,280276615.95
2024-12-12,19860,262330284.18
2024-12-13,18245,318713585.37
2024-12-16,41857,340784424.37
2024-12-17,18901,325721950.9
2024-12-18,41028,306601375.79
2024-12-19,12298,242608187.55
2024-12-20,15534,234073883.02
2024-12-23,44372,220920647.27
2024-12-24,17103,337110143.81
2024-12-26,156328,346418053.62
2024-12-27,122921,493369684.69
2024-12-30,96905,337712863.36
2024-12-31,34442,470397016.58
2025-01-02,159705,252908541.64
2025-01-03,126495,424066060.51
2025-01-06,123213,381156185.9
2025-01-07,28289,345123977.41
2025-01-08,45384,267803635.92
2025-01-09,22939,249671953.64
2025-01-10,148043,297541610.21
2025-01-13,86676,291664311.85
2025-01-14,49507,307560533.19
2025-01-15,59976,419736208.7
2025-01-16,20215,279292998.66
2025-01-17,9749,170673506.91
2025-01-20,38633,285580037.45
2025-01-21,18837,292851588.94
2025-01-22,44387,357855601.29
2025-01-23,24235,213512962.41
2025-01-24,69568,252941746.18
2025-01-27,176159,365987725.26
2025-01-28,139364,611601564.39
2025-01-31,77604,344476508.36
2025-02-03,167703,329002423.61
2025-02-04,107535,397930740.46
2025-02-05,131064,396231942.07
2025-02-06,20463,214438879.69
2025-02-07,19771,263553698.58
2025-02-10,203722,330886256.18
2025-02-12,83606,457944589.05
2025-02-13,41862,361433142.92
2025-02-14,26027,275184075.16
2025-02-17,41203,327096921.51
2025-02-18,30112,401128815.11
2025-02-19,32171,243028332.42
2025-02-20,11993,214603091.57
2025-02-21,15961,241816411.05
2025-02-24,39019,226373168.71
2025-02-25,135472,344080598.83
2025-02-26,86142,418619601.98
2025-02-27,96701,251257558.63
2025-02-28,127352,295676911.01
2025-03-03,216826,500864382.2
2025-03-04,102365,466151428.23
2025-03-05,150786,570866323.78
2025-03-06,25721,220672392.21
2025-03-07,18692,241033834.47
2025-03-10,196868,305985118.39
2025-03-11,62282,451249415.06
2025-03-12,50283,311739412.32
2025-03-13,13439,245181984.1
2025-03-14,39983,196752784.66
2025-03-17,43514,333975540.3
2025-03-19,54909,366444515.67
2025-03-20,18305,312268488.94
2025-03-21,16786,235837999.5
2025-03-24,51544,271801146.01
2025-03-25,166237,427714148.76
