year,state,jobs,addicts
2022-01-01,Kelantan,pengurusan,16
2023-01-01,Kelantan,pengurusan,
2020-01-01,Melaka,pengurusan,15
2021-01-01,Melaka,pengurusan,8
2022-01-01,Melaka,pengurusan,5
2023-01-01,Melaka,pengurusan,
2020-01-01,Negeri Sembilan,pengurusan,20
2021-01-01,Negeri Sembilan,pengurusan,12
2022-01-01,Negeri Sembilan,pengurusan,15
2023-01-01,Negeri Sembilan,pengurusan,
2020-01-01,Pahang,pengurusan,24
2021-01-01,Pahang,pengurusan,25
2022-01-01,Pahang,pengurusan,17
2023-01-01,Pahang,pengurusan,
2020-01-01,Perak,pengurusan,25
2021-01-01,Perak,pengurusan,13
2022-01-01,Perak,pengurusan,20
2023-01-01,Perak,pengurusan,
2020-01-01,Perlis,pengurusan,2
2021-01-01,Perlis,pengurusan,1
2022-01-01,Perlis,pengurusan,3
2023-01-01,Perlis,pengurusan,
2020-01-01,Pulau Pinang,pengurusan,12
2021-01-01,Pulau Pinang,pengurusan,11
2022-01-01,Pulau Pinang,pengurusan,18
2023-01-01,Pulau Pinang,pengurusan,
2020-01-01,Sabah,pengurusan,19
2021-01-01,Sabah,pengurusan,15
2022-01-01,Sabah,pengurusan,19
2023-01-01,Sabah,pengurusan,
2020-01-01,Sarawak,pengurusan,7
2021-01-01,Sarawak,pengurusan,13
2022-01-01,Sarawak,pengurusan,14
2023-01-01,Sarawak,pengurusan,
2020-01-01,Selangor,pengurusan,38
2021-01-01,Selangor,pengurusan,34
2022-01-01,Selangor,pengurusan,47
2023-01-01,Selangor,pengurusan,
2020-01-01,Terengganu,pengurusan,28
2021-01-01,Terengganu,pengurusan,21
2022-01-01,Terengganu,pengurusan,28
2023-01-01,Terengganu,pengurusan,
2020-01-01,W.P. Kuala Lumpur,pengurusan,15
2021-01-01,W.P. Kuala Lumpur,pengurusan,13
2022-01-01,W.P. Kuala Lumpur,pengurusan,18
2023-01-01,W.P. Kuala Lumpur,pengurusan,
2020-01-01,W.P. Labuan,pengurusan,1
2021-01-01,W.P. Labuan,pengurusan,
2022-01-01,W.P. Labuan,pengurusan,3
2023-01-01,W.P. Labuan,pengurusan,
2020-01-01,W.P. Putrajaya,pengurusan,7
2021-01-01,W.P. Putrajaya,pengurusan,7
2022-01-01,W.P. Putrajaya,pengurusan,10
2023-01-01,W.P. Putrajaya,pengurusan,
2016-01-01,Malaysia,kerajaan,
2017-01-01,Malaysia,kerajaan,
2018-01-01,Malaysia,kerajaan,
2019-01-01,Malaysia,kerajaan,
