date,state,parlimen,dun,poverty_absolute
2019-01-01,Kelantan,P.030 Jeli,N.36 Bukit Bunga,20.0
2022-01-01,Kelantan,P.030 Jeli,N.36 Bukit Bunga,23.1
2024-01-01,Kelantan,P.030 Jeli,N.36 Bukit Bunga,8.3
2019-01-01,Kelantan,P.030 Jeli,N.37 Air Lanas,22.7
2022-01-01,Kelantan,P.030 Jeli,N.37 Air Lanas,11.9
2024-01-01,Kelantan,P.030 Jeli,N.37 Air Lanas,9.1
2019-01-01,Kelantan,P.030 Jeli,N.38 Kuala Balah,12.1
2022-01-01,Kelantan,P.030 Jeli,N.38 Kuala Balah,10.5
2024-01-01,Kelantan,P.030 Jeli,N.38 Kuala Balah,10.9
2019-01-01,Kelantan,P.031 Kuala Krai,N.39 Mengkebang,22.3
2022-01-01,Kelantan,P.031 Kuala Krai,N.39 Mengkebang,21.4
2024-01-01,Kelantan,P.031 Kuala Krai,N.39 Mengkebang,23.9
2019-01-01,Kelantan,P.031 Kuala Krai,N.40 Guchil,13.1
2022-01-01,Kelantan,P.031 Kuala Krai,N.40 Guchil,18.2
2024-01-01,Kelantan,P.031 Kuala Krai,N.40 Guchil,13.7
2019-01-01,Kelantan,P.031 Kuala Krai,N.41 Manek Urai,33.0
2022-01-01,Kelantan,P.031 Kuala Krai,N.41 Manek Urai,25.0
2024-01-01,Kelantan,P.031 Kuala Krai,N.41 Manek Urai,26.8
2019-01-01,Kelantan,P.031 Kuala Krai,N.42 Dabong,32.4
2022-01-01,Kelantan,P.031 Kuala Krai,N.42 Dabong,28.3
2024-01-01,Kelantan,P.031 Kuala Krai,N.42 Dabong,18.2
2019-01-01,Kelantan,P.032 Gua Musang,N.43 Nenggiri,39.4
2022-01-01,Kelantan,P.032 Gua Musang,N.43 Nenggiri,32.5
2024-01-01,Kelantan,P.032 Gua Musang,N.43 Nenggiri,26.2
2019-01-01,Kelantan,P.032 Gua Musang,N.44 Paloh,16.2
2022-01-01,Kelantan,P.032 Gua Musang,N.44 Paloh,10.5
2024-01-01,Kelantan,P.032 Gua Musang,N.44 Paloh,13.8
2019-01-01,Kelantan,P.032 Gua Musang,N.45 Galas,14.6
2022-01-01,Kelantan,P.032 Gua Musang,N.45 Galas,22.0
2024-01-01,Kelantan,P.032 Gua Musang,N.45 Galas,14.0
2019-01-01,Terengganu,P.033 Besut,N.01 Kuala Besut,10.1
2022-01-01,Terengganu,P.033 Besut,N.01 Kuala Besut,20.7
2024-01-01,Terengganu,P.033 Besut,N.01 Kuala Besut,14.4
2019-01-01,Terengganu,P.033 Besut,N.02 Kota Putera,8.9
2022-01-01,Terengganu,P.033 Besut,N.02 Kota Putera,10.2
2024-01-01,Terengganu,P.033 Besut,N.02 Kota Putera,10.5
2019-01-01,Terengganu,P.033 Besut,N.03 Jertih,13.1
2022-01-01,Terengganu,P.033 Besut,N.03 Jertih,6.8
2024-01-01,Terengganu,P.033 Besut,N.03 Jertih,1.8
2019-01-01,Terengganu,P.033 Besut,N.04 Hulu Besut,3.9
2022-01-01,Terengganu,P.033 Besut,N.04 Hulu Besut,15.1
2024-01-01,Terengganu,P.033 Besut,N.04 Hulu Besut,15.1
2019-01-01,Terengganu,P.034 Setiu,N.05 Jabi,13.5
2022-01-01,Terengganu,P.034 Setiu,N.05 Jabi,12.9
2024-01-01,Terengganu,P.034 Setiu,N.05 Jabi,12.8
2019-01-01,Terengganu,P.034 Setiu,N.06 Permaisuri,4.9
2022-01-01,Terengganu,P.034 Setiu,N.06 Permaisuri,9.3
2024-01-01,Terengganu,P.034 Setiu,N.06 Permaisuri,6.7
2019-01-01,Terengganu,P.034 Setiu,N.07 Langkap,9.0
2022-01-01,Terengganu,P.034 Setiu,N.07 Langkap,5.7
2024-01-01,Terengganu,P.034 Setiu,N.07 Langkap,1.5
2019-01-01,Terengganu,P.034 Setiu,N.08 Batu Rakit,11.3
2022-01-01,Terengganu,P.034 Setiu,N.08 Batu Rakit,1.5
2024-01-01,Terengganu,P.034 Setiu,N.08 Batu Rakit,0.0
2019-01-01,Terengganu,P.035 Kuala Nerus,N.09 Tepuh,2.1
2022-01-01,Terengganu,P.035 Kuala Nerus,N.09 Tepuh,0.3
2024-01-01,Terengganu,P.035 Kuala Nerus,N.09 Tepuh,2.7
2019-01-01,Terengganu,P.035 Kuala Nerus,N.10 Buluh Gading,8.3
2022-01-01,Terengganu,P.035 Kuala Nerus,N.10 Buluh Gading,4.2
2024-01-01,Terengganu,P.035 Kuala Nerus,N.10 Buluh Gading,4.0
2019-01-01,Terengganu,P.035 Kuala Nerus,N.11 Seberang Takir,5.2
2022-01-01,Terengganu,P.035 Kuala Nerus,N.11 Seberang Takir,3.7
2024-01-01,Terengganu,P.035 Kuala Nerus,N.11 Seberang Takir,2.4
2019-01-01,Terengganu,P.035 Kuala Nerus,N.12 Bukit Tunggal,0.0
2022-01-01,Terengganu,P.035 Kuala Nerus,N.12 Bukit Tunggal,3.5
2024-01-01,Terengganu,P.035 Kuala Nerus,N.12 Bukit Tunggal,0.9
2019-01-01,Terengganu,P.036 Kuala Terengganu,N.13 Wakaf Mempelam,2.3
2022-01-01,Terengganu,P.036 Kuala Terengganu,N.13 Wakaf Mempelam,2.9
2024-01-01,Terengganu,P.036 Kuala Terengganu,N.13 Wakaf Mempelam,1.9
2019-01-01,Terengganu,P.036 Kuala Terengganu,N.14 Bandar,2.7
2022-01-01,Terengganu,P.036 Kuala Terengganu,N.14 Bandar,3.7
2024-01-01,Terengganu,P.036 Kuala Terengganu,N.14 Bandar,4.2
2019-01-01,Terengganu,P.036 Kuala Terengganu,N.15 Ladang,3.6
2022-01-01,Terengganu,P.036 Kuala Terengganu,N.15 Ladang,6.0
2024-01-01,Terengganu,P.036 Kuala Terengganu,N.15 Ladang,6.5
2019-01-01,Terengganu,P.036 Kuala Terengganu,N.16 Batu Buruk,3.9
2022-01-01,Terengganu,P.036 Kuala Terengganu,N.16 Batu Buruk,5.5
2024-01-01,Terengganu,P.036 Kuala Terengganu,N.16 Batu Buruk,1.3
2019-01-01,Terengganu,P.037 Marang,N.17 Alur Limbat,8.0
2022-01-01,Terengganu,P.037 Marang,N.17 Alur Limbat,10.1
2024-01-01,Terengganu,P.037 Marang,N.17 Alur Limbat,5.2
2019-01-01,Terengganu,P.037 Marang,N.18 Bukit Payung,6.7
2022-01-01,Terengganu,P.037 Marang,N.18 Bukit Payung,7.7
2024-01-01,Terengganu,P.037 Marang,N.18 Bukit Payung,0.0
2019-01-01,Terengganu,P.037 Marang,N.19 Ru Rendang,8.5
2022-01-01,Terengganu,P.037 Marang,N.19 Ru Rendang,8.2
2024-01-01,Terengganu,P.037 Marang,N.19 Ru Rendang,13.4
2019-01-01,Terengganu,P.037 Marang,N.20 Pengkalan Berangan,6.2
2022-01-01,Terengganu,P.037 Marang,N.20 Pengkalan Berangan,6.5
2024-01-01,Terengganu,P.037 Marang,N.20 Pengkalan Berangan,4.8
2019-01-01,Terengganu,P.038 Hulu Terengganu,N.21 Telemung,9.1
2022-01-01,Terengganu,P.038 Hulu Terengganu,N.21 Telemung,15.2
2024-01-01,Terengganu,P.038 Hulu Terengganu,N.21 Telemung,15.7
2019-01-01,Terengganu,P.038 Hulu Terengganu,N.22 Manir,7.7
2022-01-01,Terengganu,P.038 Hulu Terengganu,N.22 Manir,12.7
2024-01-01,Terengganu,P.038 Hulu Terengganu,N.22 Manir,3.0
2019-01-01,Terengganu,P.038 Hulu Terengganu,N.23 Kuala Berang,8.9
2022-01-01,Terengganu,P.038 Hulu Terengganu,N.23 Kuala Berang,8.0
2024-01-01,Terengganu,P.038 Hulu Terengganu,N.23 Kuala Berang,2.9
2019-01-01,Terengganu,P.038 Hulu Terengganu,N.24 Ajil,4.4
2022-01-01,Terengganu,P.038 Hulu Terengganu,N.24 Ajil,7.5
2024-01-01,Terengganu,P.038 Hulu Terengganu,N.24 Ajil,0.0
