state,type,date,sex,abs,rate
Selangor,neonatal,2018-01-01,both,422,4.1
Selangor,neonatal,2018-01-01,female,183,3.7
Selangor,neonatal,2018-01-01,male,239,4.5
Selangor,neonatal,2019-01-01,both,365,3.8335906565417863
Selangor,neonatal,2019-01-01,female,185,4.0002594762903545
Selangor,neonatal,2019-01-01,male,180,3.676170247528797
Selangor,neonatal,2020-01-01,both,279,2.9917325241000676
Selangor,neonatal,2020-01-01,female,116,2.5721761497183913
Selangor,neonatal,2020-01-01,male,163,3.384621773707926
Selangor,neonatal,2021-01-01,both,264,2.9294924432410836
Selangor,neonatal,2021-01-01,female,121,2.782888684452622
Selangor,neonatal,2021-01-01,male,143,3.0661692182340583
Selangor,neonatal,2022-01-01,both,286,3.4
Selangor,neonatal,2022-01-01,female,116,2.9
Selangor,neonatal,2022-01-01,male,170,3.9
Selangor,neonatal,2024-01-01,both,326,3.9
Selangor,neonatal,2024-01-01,female,144,3.6
Selangor,neonatal,2024-01-01,male,182,4.3
Selangor,infant,2017-01-01,both,620,5.962283747006837
Selangor,infant,2017-01-01,female,291,5.80097280918587
Selangor,infant,2017-01-01,male,329,6.112628430224996
Selangor,infant,2018-01-01,both,662,6.5
Selangor,infant,2018-01-01,female,300,6.1
Selangor,infant,2018-01-01,male,362,6.9
Selangor,infant,2019-01-01,both,582,6.112739074266629
Selangor,infant,2019-01-01,female,273,6.310758924924435
Selangor,infant,2019-01-01,male,309,5.903085605552793
Selangor,infant,2020-01-01,both,417,4.471514202687198
Selangor,infant,2020-01-01,female,186,4.124351412479489
Selangor,infant,2020-01-01,male,231,4.79661122531614
Selangor,infant,2021-01-01,both,402,4.4608180385716505
Selangor,infant,2021-01-01,female,185,4.254829806807727
Selangor,infant,2021-01-01,male,217,4.652858184313221
Selangor,infant,2022-01-01,both,495,5.9
Selangor,infant,2022-01-01,female,212,5.3
Selangor,infant,2022-01-01,male,283,6.5
Selangor,infant,2024-01-01,both,519,6.2
Selangor,infant,2024-01-01,female,229,5.7
Selangor,infant,2024-01-01,male,290,6.8
Terengganu,neonatal,2017-01-01,both,114,4.084411164057181
Terengganu,neonatal,2017-01-01,female,44,3.203727974370176
Terengganu,neonatal,2017-01-01,male,70,4.937574945333992
Terengganu,neonatal,2018-01-01,both,118,4.2
Terengganu,neonatal,2018-01-01,female,52,3.8
Terengganu,neonatal,2018-01-01,male,66,4.5
Terengganu,neonatal,2019-01-01,both,129,4.776008885597927
Terengganu,neonatal,2019-01-01,female,57,4.398487537618643
