date,volume,value
2021-02-10,226142,152251558.84
2021-02-11,160101,89996308.19
2021-02-12,79551,27689452.92
2021-02-13,76763,24307093.9
2021-02-14,84924,27279686.67
2021-02-15,184171,118395835.87
2021-02-16,171527,103092223.87
2021-02-17,176725,108806974.46
2021-02-18,176981,131894576.9
2021-02-19,170316,128693348.7
2021-02-20,115528,44761771.87
2021-02-21,112006,37760047.19
2021-02-22,233358,145258496.18
2021-02-23,228791,166271809.94
2021-02-24,232238,182550893.83
2021-02-25,291675,262089106.93
2021-02-26,330830,302840559.6
2021-02-27,243584,83113788.8
2021-02-28,270765,81726519.47
2021-03-01,333691,156236643.75
2021-03-02,269289,128426943.25
2021-03-03,238405,125759444.08
2021-03-04,225713,112092074.09
2021-03-05,217749,121824673.29
2021-03-06,139334,51827423.62
2021-03-07,131341,41601064.29
2021-03-08,215183,111150456.36
2021-03-09,192748,108692000.3
2021-03-10,191894,114315266.89
2021-03-11,172401,109487199.54
2021-03-12,157337,107296023.79
2021-03-13,96684,39278936.38
2021-03-14,93131,32406580.11
2021-03-15,190530,126313832.57
2021-03-16,160125,104039568.23
2021-03-17,156701,101947422.55
2021-03-18,211913,132818973.76
2021-03-19,170809,103320561.78
2021-03-20,111245,41605522.81
2021-03-21,104617,32396441.25
2021-03-22,205451,123869276.64
2021-03-23,174946,103710995.14
2021-03-24,177271,109571065.29
2021-03-25,225113,155290806.79
2021-03-26,217140,154775965.77
2021-03-27,133673,50177476.23
2021-03-28,132063,39066914.18
2021-03-29,235178,166015858.4
2021-03-30,229792,181456667.44
2021-03-31,262572,164868696.14
2021-04-01,260809,106358437.9
2021-04-02,205597,96091624.47
2021-04-03,134955,51383605.95
2021-04-04,129526,40300817.27
2021-04-05,237193,123161728.63
2021-04-06,215899,109530494.47
2021-04-07,217579,118689014.25
2021-04-08,203062,112432205.39
2021-04-09,172146,112829538.73
2021-04-10,111334,43989745.84
2021-04-11,98709,35538689.94
2021-04-12,181832,121548864.0
2021-04-13,169520,109994057.4
2021-04-14,163559,103707079.5
2021-04-15,172369,130835104.72
2021-04-16,144805,108053020.4
2021-04-17,87210,39524927.56
2021-04-18,82517,32624054.39
2021-04-19,163107,119673724.91
2021-04-20,161680,117095800.19
2021-04-21,160958,111011153.01
2021-04-22,252900,135667089.45
2021-04-23,221273,145454641.4
2021-04-24,133343,45454432.59
2021-04-25,135695,39613219.07
2021-04-26,240890,149924743.4
2021-04-27,219836,170640808.07
2021-04-28,226439,217887204.71
2021-04-29,179771,89629459.28
2021-04-30,273073,224035855.09
2021-05-01,167471,52587675.53
2021-05-02,144567,42112175.45
2021-05-03,245988,122007956.94
2021-05-04,219642,103526155.33
2021-05-05,221160,115243037.48
2021-05-06,250913,135283331.86
2021-05-07,233424,130874991.59
2021-05-08,149822,54394877.05
2021-05-09,116481,39926273.26
2021-05-10,217541,120175496.86
2021-05-11,217023,136297680.26
2021-05-12,177405,135846552.89
2021-05-13,71154,28014705.41
2021-05-14,88929,29247987.1
2021-05-15,100466,36136324.79
2021-05-16,87816,29111668.94
2021-05-17,181141,110013985.59
2021-05-18,168249,119014121.21
2021-05-19,161994,108141923.38
2021-05-20,173607,121932581.26
2021-05-21,177457,142345330.51
2021-05-22,120920,44078815.1
2021-05-23,107284,34397282.92
2021-05-24,189985,137753328.7
2021-05-25,230186,186795799.63
2021-05-26,162746,60724870.54
2021-05-27,227219,187152634.1
2021-05-28,242255,219327828.09
2021-05-29,160195,54389199.62
2021-05-30,146372,47538389.21
2021-05-31,283675,204888530.73
2021-06-01,269395,109117473.29
2021-06-02,225733,92121481.5
2021-06-03,209605,98093239.97
2021-06-04,220165,121026540.29
2021-06-05,165266,51893733.44
2021-06-06,127058,39212391.87
2021-06-07,143113,47624573.2
2021-06-08,206026,103856274.0
2021-06-09,183146,106067569.35
2021-06-10,178867,114456789.26
2021-06-11,168184,101227833.36
2021-06-12,109224,39826682.41
2021-06-13,99524,34536199.13
2021-06-14,239034,115478263.05
2021-06-15,201668,122301516.07
2021-06-16,167115,105852093.41
2021-06-17,160125,97278383.9
2021-06-18,154268,114013171.75
2021-06-19,106862,38506379.78
2021-06-20,96863,30535303.82
2021-06-21,183408,122134800.0
2021-06-22,176821,106591800.51
2021-06-23,169209,93808899.99
2021-06-24,173502,118648614.02
2021-06-25,232455,172337048.71
2021-06-26,159038,50534585.08
2021-06-27,140187,40792278.34
2021-06-28,253279,194205548.19
2021-06-29,231732,159998326.93
2021-06-30,297781,209570065.29
2021-07-01,291590,121845881.22
2021-07-02,244602,110297381.13
2021-07-03,173189,55100753.75
2021-07-04,143890,44538766.96
2021-07-05,235669,108807688.06
2021-07-06,210012,97727208.85
2021-07-07,211804,117165730.04
2021-07-08,193735,99582721.07
2021-07-09,170424,103825637.04
2021-07-10,118811,44344932.28
2021-07-11,112345,35440183.9
2021-07-12,181720,105017678.7
2021-07-13,168934,98612270.74
2021-07-14,236721,104610624.62
2021-07-15,203355,128211868.05
2021-07-16,171910,112737480.79
2021-07-17,111176,44605769.18
2021-07-18,99800,35080487.46
2021-07-19,167801,105413138.29
2021-07-20,97519,37191541.17
2021-07-21,168996,109503247.01
2021-07-22,171355,109718692.0
2021-07-23,193367,132583517.18
2021-07-24,131641,49611435.7
2021-07-25,131273,43911102.75
2021-07-26,229644,160566821.8
2021-07-27,218778,146474636.1
2021-07-28,232552,168303522.2
2021-07-29,217723,158867426.58
2021-07-30,240971,206897614.05
2021-07-31,192817,67142066.17
2021-08-01,200308,58331349.17
2021-08-02,262715,119845451.92
2021-08-03,240402,103077099.25
2021-08-04,230038,109108632.89
2021-08-05,236310,108412152.42
2021-08-06,232840,128033803.5
2021-08-07,160495,50584128.71
2021-08-08,136678,42179426.97
2021-08-09,212049,115078276.01
2021-08-10,156763,60748615.46
2021-08-11,196755,116215179.75
2021-08-12,182089,117990715.57
2021-08-13,177149,128245027.87
2021-08-14,113026,44705686.33
2021-08-15,111775,41908988.51
2021-08-16,177292,117626668.71
2021-08-17,162580,105165508.03
2021-08-18,171449,106308098.18
2021-08-19,251491,127209189.54
2021-08-20,213990,133079169.93
2021-08-21,137034,48468948.21
2021-08-22,140847,44531645.03
2021-08-23,230137,134138825.72
2021-08-24,217901,133318569.75
2021-08-25,270681,181646752.95
2021-08-26,267696,173346621.93
2021-08-27,279386,227226264.24
2021-08-28,198056,67516862.43
2021-08-29,172770,52346845.14
2021-08-30,327319,242968244.45
