date,instrument,value,volume
2022-04-01,credit_online,7444383601.0,27694571.0
2022-05-01,credit_online,7516668014.0,28057113.0
2022-06-01,credit_online,7755066411.0,28370110.0
2022-07-01,credit_online,8098450169.0,29135241.0
2022-08-01,credit_online,8269480256.999999,30300746.0
2022-09-01,credit_online,8158496509.0,29515386.0
2022-10-01,credit_online,8232642030.999999,30527394.0
2022-11-01,credit_online,8435991639.0,30248435.0
2022-12-01,credit_online,9181389126.0,31830170.0
2023-01-01,credit_online,8330847202.999999,30223386.0
2023-02-01,credit_online,7952377081.0,28219648.0
2023-03-01,credit_online,9062195064.0,32055563.999999996
2023-04-01,credit_online,8168233041.0,29357488.0
2023-05-01,credit_online,8742628993.0,32053676.000000004
2023-06-01,credit_online,8600849027.0,31538827.0
2023-07-01,credit_online,8673857858.0,31357687.0
2023-08-01,credit_online,9265810763.0,33466755.0
2023-09-01,credit_online,9122645730.0,33359692.000000004
2023-10-01,credit_online,9537068721.0,34626378.0
2023-11-01,credit_online,9709270581.0,34765291.0
2023-12-01,credit_online,10228088074.0,35971957.0
2024-01-01,credit_online,9822532594.0,35978655.0
2024-02-01,credit_online,9140145190.0,31861454.0
2024-03-01,credit_online,9615260465.0,33853975.0
2024-04-01,credit_online,9047041525.0,31028289.0
2024-05-01,credit_online,9426485387.0,33194833.000000004
2024-06-01,credit_online,9060686492.0,32165481.0
2024-07-01,credit_online,9341190800.0,33800319.0
2024-08-01,credit_online,9683174441.0,34998561.0
2024-09-01,credit_online,9426120926.0,34371369.0
2024-10-01,credit_online,9886612883.0,35706897.0
2024-11-01,credit_online,9758386054.0,35609063.0
2024-12-01,credit_online,10353779375.0,37147389.0
2025-01-01,credit_online,9729052494.0,35426663.0
2025-02-01,credit_online,8713012135.0,31806244.0
2025-03-01,credit_online,10045541724.0,35991572.0
2025-04-01,credit_online,9355896045.0,34024516.0
2025-05-01,credit_online,9854620103.0,36318123.0
2025-06-01,credit_online,9422781907.0,35327519.0
2025-07-01,credit_online,10096806891.0,36591396.0
2025-08-01,credit_online,10209094188.0,36678188.0
2025-09-01,credit_online,9974563566.0,36126974.0
2025-10-01,credit_online,10335743210.0,37199796.0
2025-11-01,credit_online,10437235561.0,37705011.0
2025-12-01,credit_online,11011685242.0,39464365.0
2026-01-01,credit_online,10739959771.0,40561925.0
2026-02-01,credit_online,9251218532.0,35233076.0
2026-03-01,credit_online,10962888582.0,39964132.0
2026-04-01,credit_online,10522045975.0,39427060.0
2026-05-01,credit_online,10901015692.0,41280834.0
2026-06-01,credit_online,10755834130.0,40573845.0
2019-01-01,debit_f2f,,
2019-02-01,debit_f2f,,
2019-03-01,debit_f2f,,
2019-04-01,debit_f2f,3277813332.0000005,20146513.0
2019-05-01,debit_f2f,3896636625.0,23137212.0
2019-06-01,debit_f2f,3469197395.0,22156937.0
2019-07-01,debit_f2f,3477634384.9999995,23262218.000000004
2019-08-01,debit_f2f,3560646369.000001,24340127.0
2019-09-01,debit_f2f,3544808237.999999,24663553.0
2019-10-01,debit_f2f,3789521444.0,27419077.0
2019-11-01,debit_f2f,3682362775.000001,26845670.0
2019-12-01,debit_f2f,4602955934.999999,31980067.000000007
2020-01-01,debit_f2f,4274126989.0,31302078.0
2020-02-01,debit_f2f,3769108779.0,28496932.0
2020-03-01,debit_f2f,3357978290.0000014,27669941.0
2020-04-01,debit_f2f,1799562016.0,16641521.0
2020-05-01,debit_f2f,3679927214.0,26916058.0
2020-06-01,debit_f2f,3776415993.000001,27803543.000000007
2020-07-01,debit_f2f,4385146522.0,32055832.999999993
2020-08-01,debit_f2f,4400746804.0,32444333.000000007
2020-09-01,debit_f2f,4190757564.0,32278874.0
2020-10-01,debit_f2f,3972109423.000001,31910911.0
2020-11-01,debit_f2f,3850525841.000001,30727880.0
2020-12-01,debit_f2f,4892414944.0,37371741.00000001
2021-01-01,debit_f2f,4408623222.0,35195680.00000001
2021-02-01,debit_f2f,4253669662.0,35709624.00000001
2021-03-01,debit_f2f,5852610865.999999,45973937.00000001
2021-04-01,debit_f2f,5421826748.0,44515918.00000001
2021-05-01,debit_f2f,5096292716.999999,44188705.99999999
2021-06-01,debit_f2f,2700560656.0,30485418.000000007
2021-07-01,debit_f2f,3164491080.0,34481348.0
2021-08-01,debit_f2f,3745456625.0,39068075.000000015
2021-09-01,debit_f2f,4745934273.0,45804303.99999999
2021-10-01,debit_f2f,6047385306.0,55914884.0
2021-11-01,debit_f2f,5920508895.0,55369720.000000015
2021-12-01,debit_f2f,6721772916.000002,61735785.000000015
2022-01-01,debit_f2f,6470839270.999998,60710286.0
2022-02-01,debit_f2f,5055726743.999999,50995317.00000001
2022-03-01,debit_f2f,6434719187.0,61147249.0
2022-04-01,debit_f2f,9266174362.0,77414850.0
2022-05-01,debit_f2f,9540051229.0,83018515.99999999
2022-06-01,debit_f2f,8025917141.000002,76595478.0
2022-07-01,debit_f2f,8075162405.0,80169971.99999999
2022-08-01,debit_f2f,7940696880.000002,80501656.99999999
2022-09-01,debit_f2f,7830067097.0,79794912.0
2022-10-01,debit_f2f,8533090514.0,88143555.0
2022-11-01,debit_f2f,8004140327.0,85139255.0
2022-12-01,debit_f2f,9353464520.000002,94321362.99999999
2023-01-01,debit_f2f,9226439277.999998,95017025.0
2023-02-01,debit_f2f,7761240123.0,82847654.99999999
2023-03-01,debit_f2f,9213235872.0,95718676.0
2023-04-01,debit_f2f,9870061566.000002,100367946.0
2023-05-01,debit_f2f,8870265585.999998,100475000.0
2023-06-01,debit_f2f,8535708619.999998,99836200.0
2023-07-01,debit_f2f,8993792010.0,106996995.0
2023-08-01,debit_f2f,9105990354.0,110477422.0
2023-09-01,debit_f2f,8938621143.0,109542689.99999997
2023-10-01,debit_f2f,9234596120.0,114853239.0
2023-11-01,debit_f2f,9113421414.999998,112216994.0
2023-12-01,debit_f2f,10390056271.000002,120201965.00000003
2024-01-01,debit_f2f,9697957203.0,117721554.99999997
2024-02-01,debit_f2f,9837464374.0,117157546.0
2024-03-01,debit_f2f,10612544285.0,123754824.0
2024-04-01,debit_f2f,10059129459.0,123650827.0
2024-05-01,debit_f2f,10181099141.0,132504104.0
2024-06-01,debit_f2f,9995179004.0,131271551.99999997
2024-07-01,debit_f2f,9809472556.0,132868682.0
2024-08-01,debit_f2f,9866476997.0,134342640.99999997
2024-09-01,debit_f2f,9742899803.0,133480029.99999997
2024-10-01,debit_f2f,10164907693.0,140668581.0
2024-11-01,debit_f2f,9652326312.999998,135925439.00000003
2024-12-01,debit_f2f,11549456867.999996,154040577.0
2025-01-01,debit_f2f,11600952374.000002,154613777.0
2025-02-01,debit_f2f,9943495225.0,136665536.0
2025-03-01,debit_f2f,12344530026.999996,156711694.99999997
2025-04-01,debit_f2f,10227845897.0,149749918.00000003
2025-05-01,debit_f2f,10838181094.000002,161772455.00000003
2025-06-01,debit_f2f,10159349099.0,154683486.99999997
2025-07-01,debit_f2f,10065787050.000002,157708468.0
2025-08-01,debit_f2f,10173416264.999998,168657030.0
2025-09-01,debit_f2f,9646552526.000002,159336871.0
2025-10-01,debit_f2f,10227419915.0,169131410.00000003
2025-11-01,debit_f2f,10054449067.0,165150197.0
2025-12-01,debit_f2f,11362025569.999998,177111012.00000006
2026-01-01,debit_f2f,11001647937.0,174712649.0
2026-02-01,debit_f2f,10230425959.0,156474518.0
2026-03-01,debit_f2f,11887200879.0,177906136.0
2026-04-01,debit_f2f,10014193609.0,169327026.00000003
2026-05-01,debit_f2f,10754878825.0,182703991.0
2026-06-01,debit_f2f,9919547461.0,172692849.0
2019-01-01,debit_online,,
2019-02-01,debit_online,,
2019-03-01,debit_online,,
2019-04-01,debit_online,721314316.0,6785848.0
