series,state,district,date,sector,value
abs,Kedah,Kuala Muda,2015-01-01,p3,3386.2915
abs,Kedah,Kuala Muda,2015-01-01,p4,211.0815
abs,Kedah,Kuala Muda,2015-01-01,p5,5149.6952
abs,Kedah,Kuala Muda,2016-01-01,p0,10116.2307
abs,Kedah,Kuala Muda,2016-01-01,p1,843.3166
abs,Kedah,Kuala Muda,2016-01-01,p2,15.0026
abs,Kedah,Kuala Muda,2016-01-01,p3,3515.8
abs,Kedah,Kuala Muda,2016-01-01,p4,185.5222
abs,Kedah,Kuala Muda,2016-01-01,p5,5471.4176
abs,Kedah,Kuala Muda,2017-01-01,p0,10555.9169
abs,Kedah,Kuala Muda,2017-01-01,p1,904.6062
abs,Kedah,Kuala Muda,2017-01-01,p2,17.2289
abs,Kedah,Kuala Muda,2017-01-01,p3,3622.3122
abs,Kedah,Kuala Muda,2017-01-01,p4,127.8987
