date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD
2004-01-16,buying,3.77,,0.03541,6.8918,2.2193,,
2004-01-16,selling,3.83,,0.0363,7.0323,2.2763,,
2004-01-19,buying,3.77,,0.03527,6.7889,2.2124,,
2004-01-19,selling,3.83,,0.036176,6.9156,2.2655,,
2004-01-20,buying,3.77,,0.03505,6.7295,2.1983,,
2004-01-20,selling,3.83,,0.03596,6.8493,2.2563,,
2004-01-21,buying,3.77,,0.03514,6.854,2.2022,,
2004-01-21,selling,3.83,,0.03598,6.9832,2.2589,,
2004-01-26,buying,3.77,,0.03528,6.8823,2.2163,,
2004-01-26,selling,3.83,,0.03624,7.0028,2.2701,,
2004-01-27,buying,3.77,,0.035357,6.8353,2.2202,,
2004-01-27,selling,3.83,,0.03628,6.9735,2.2738,,
2004-01-28,buying,3.77,,0.03558,6.8823,2.2217,,
2004-01-28,selling,3.83,,0.03653,7.0175,2.2748,,
2004-01-29,buying,3.77,,0.035387,6.8587,2.2178,,
2004-01-29,selling,3.83,,0.03636,6.9832,2.2722,,
2004-01-30,buying,3.77,,0.03546,6.854,2.2075,,
2004-01-30,selling,3.83,,0.03641,6.9784,2.2645,,
2004-02-05,buying,3.77,,0.03565,6.9108,2.2212,,
2004-02-05,selling,3.83,,0.03658,7.0423,2.2769,,
2004-02-06,buying,3.77,,0.03559,6.93,2.2227,,
2004-02-06,selling,3.83,,0.0365,7.0522,2.2774,,
2004-02-09,buying,3.77,,0.03558,6.9784,2.2336,,
2004-02-09,selling,3.83,,0.0365,7.1073,2.2857,,
2004-02-10,buying,3.77,,0.03552,7.0126,2.2351,,
2004-02-10,selling,3.83,,0.03648,7.1429,2.292,,
2004-02-11,buying,3.77,,0.03558,7.0522,2.2492,,
2004-02-11,selling,3.83,,0.036523,7.1736,2.3015,,
2004-02-12,buying,3.77,,0.03564,7.1378,2.2558,,
2004-02-12,selling,3.83,,0.03659,7.2674,2.3127,,
2004-02-13,buying,3.77,,0.03569,7.1429,2.2462,,
2004-02-13,selling,3.83,,0.03661,7.2674,2.3036,,
2004-02-16,buying,3.77,,0.03564,7.1124,2.2497,,
2004-02-16,selling,3.83,,0.03656,7.2411,2.3026,,
2004-02-17,buying,3.77,,0.03565,7.1327,2.2472,,
2004-02-17,selling,3.83,,0.03657,7.2516,2.3036,,
2004-02-18,buying,3.77,,0.0356,7.1942,2.2477,,
2004-02-18,selling,3.83,,0.03653,7.3206,2.3026,,
2004-02-19,buying,3.77,,0.03532,7.1378,2.2411,,
2004-02-19,selling,3.83,,0.03653,7.2622,2.2973,,
2004-02-20,buying,3.77,,0.03532,7.1633,2.2361,,
2004-02-20,selling,3.83,,0.03609,7.2886,2.2904,,
2004-02-24,buying,3.77,,0.03471,7.0423,2.2198,,
2004-02-24,selling,3.83,,0.03562,7.1788,2.2758,,
2004-02-25,buying,3.77,,0.03474,7.1327,2.2287,,
2004-02-25,selling,3.83,,0.03563,7.2622,2.2857,,
2004-02-26,buying,3.77,,0.03452,7.0771,2.2287,,
2004-02-26,selling,3.83,,0.03541,7.1942,2.2774,,
2004-02-27,buying,3.77,,3.433,7.0265,2.2096,,
2004-02-27,selling,3.83,,3.52,7.1599,2.2653,,
2004-03-01,buying,3.77,,3.443,7.0725,2.2155,,
2004-03-01,selling,3.83,,3.539,7.192,2.2713,,
2004-03-02,buying,3.77,,3.449,7.0543,2.2138,,
2004-03-02,selling,3.83,,3.54,7.1792,2.2656,,
2004-03-03,buying,3.77,,3.412,6.9437,2.2035,,
2004-03-03,selling,3.83,,3.501,7.0631,2.2574,,
2004-03-04,buying,3.77,,3.414,6.8924,2.2004,,
2004-03-04,selling,3.83,,3.502,7.0209,2.2547,,
2004-03-05,buying,3.77,,3.379,6.8776,2.1915,,
2004-03-05,selling,3.83,,3.468,6.9997,2.2451,,
2004-03-08,buying,3.77,,3.352,6.9604,2.1969,,
2004-03-08,selling,3.83,,3.441,7.096,2.251,,
2004-03-09,buying,3.77,,0.03375,6.993,2.209,,
2004-03-09,selling,3.83,,0.03465,7.1174,2.2645,,
2004-03-10,buying,3.77,,3.377,6.8974,2.2073,,
2004-03-10,selling,3.83,,3.461,7.0147,2.2575,,
2004-03-11,buying,3.77,,3.389,6.8001,2.1964,,
2004-03-11,selling,3.83,,3.477,6.926,2.2517,,
2004-03-12,buying,3.77,,0.03391,6.8306,2.2012,,
2004-03-12,selling,3.83,,0.03481,6.9541,2.2558,,
2004-03-15,buying,3.77,,3.394,6.7978,2.197,,
2004-03-15,selling,3.83,,3.48,6.916,2.2537,,
2004-03-16,buying,3.77,,0.03414,6.7981,2.2051,,
2004-03-16,selling,3.83,,0.03503,6.9252,2.2589,,
2004-03-17,buying,3.77,,0.03456,6.8446,2.2129,,
2004-03-17,selling,3.83,,0.03548,6.9638,2.2665,,
2004-03-19,buying,3.77,,0.03518,6.9252,2.2297,,
2004-03-19,selling,3.83,,0.03611,7.0522,2.2841,,
2004-03-22,buying,3.77,,0.03514,6.9156,2.2247,,
2004-03-22,selling,3.83,,0.036,7.0373,2.2758,,
2004-03-23,buying,3.77,,0.03523,6.9638,2.2292,,
2004-03-23,selling,3.83,,0.03611,7.0972,2.2836,,
2004-03-24,buying,3.77,,0.03518,6.993,2.2292,,
2004-03-24,selling,3.83,,0.036061,7.1174,2.2753,,
2004-03-25,buying,3.77,,0.03543,6.8871,2.2267,,
2004-03-25,selling,3.83,,0.036402,7.0126,2.2779,,
2004-03-26,buying,3.77,,0.03548,6.8213,2.2282,,
2004-03-26,selling,3.83,,0.036392,6.9396,2.2836,,
2004-03-29,buying,3.77,,0.03558,6.8446,2.2282,,
2004-03-29,selling,3.83,,0.03652,6.9686,2.2826,,
2004-03-30,buying,3.77,,0.03561,6.8681,2.2321,,
2004-03-30,selling,3.83,,0.03658,6.9881,2.2841,,
2004-03-31,buying,3.77,,0.035567,6.8966,2.2406,,
2004-03-31,selling,3.83,,0.03644,7.0175,2.2931,,
2004-04-01,buying,3.77,,0.03612,6.9541,2.2497,,
