date,time,origin,destination,ridership
2022-06-27,16:00,JB Sentral,Woodlands CIQ,278
2022-06-27,16:00,Woodlands CIQ,JB Sentral,37
2022-06-27,17:00,JB Sentral,Woodlands CIQ,287
2022-06-27,17:00,Woodlands CIQ,JB Sentral,72
2022-06-27,18:00,Woodlands CIQ,JB Sentral,180
2022-06-27,19:00,JB Sentral,Woodlands CIQ,321
2022-06-27,20:00,JB Sentral,Woodlands CIQ,323
2022-06-27,20:00,Woodlands CIQ,JB Sentral,157
2022-06-27,21:00,JB Sentral,Woodlands CIQ,322
2022-06-27,21:00,Woodlands CIQ,JB Sentral,87
2022-06-27,22:00,JB Sentral,Woodlands CIQ,241
2022-06-27,22:00,Woodlands CIQ,JB Sentral,56
2022-06-27,23:00,Woodlands CIQ,JB Sentral,10
2022-06-28,05:00,JB Sentral,Woodlands CIQ,226
2022-06-28,06:00,JB Sentral,Woodlands CIQ,480
2022-06-28,07:00,JB Sentral,Woodlands CIQ,480
2022-06-28,08:00,JB Sentral,Woodlands CIQ,158
2022-06-28,08:00,Woodlands CIQ,JB Sentral,120
2022-06-28,09:00,Woodlands CIQ,JB Sentral,304
2022-06-28,10:00,JB Sentral,Woodlands CIQ,101
2022-06-28,11:00,JB Sentral,Woodlands CIQ,100
2022-06-28,11:00,Woodlands CIQ,JB Sentral,243
2022-06-28,12:00,JB Sentral,Woodlands CIQ,87
2022-06-28,12:00,Woodlands CIQ,JB Sentral,116
2022-06-28,13:00,Woodlands CIQ,JB Sentral,66
2022-06-28,14:00,JB Sentral,Woodlands CIQ,99
2022-06-28,15:00,JB Sentral,Woodlands CIQ,194
2022-06-28,15:00,Woodlands CIQ,JB Sentral,44
2022-06-28,16:00,JB Sentral,Woodlands CIQ,242
2022-06-28,16:00,Woodlands CIQ,JB Sentral,50
2022-06-28,17:00,JB Sentral,Woodlands CIQ,240
2022-06-28,17:00,Woodlands CIQ,JB Sentral,76
2022-06-28,18:00,Woodlands CIQ,JB Sentral,153
2022-06-28,19:00,JB Sentral,Woodlands CIQ,242
2022-06-28,20:00,JB Sentral,Woodlands CIQ,240
2022-06-28,20:00,Woodlands CIQ,JB Sentral,147
2022-06-28,21:00,JB Sentral,Woodlands CIQ,240
2022-06-28,21:00,Woodlands CIQ,JB Sentral,91
2022-06-28,22:00,JB Sentral,Woodlands CIQ,156
2022-06-28,22:00,Woodlands CIQ,JB Sentral,36
2022-06-28,23:00,Woodlands CIQ,JB Sentral,35
2022-06-29,05:00,JB Sentral,Woodlands CIQ,231
2022-06-29,06:00,JB Sentral,Woodlands CIQ,478
2022-06-29,07:00,JB Sentral,Woodlands CIQ,480
2022-06-29,08:00,JB Sentral,Woodlands CIQ,120
2022-06-29,08:00,Woodlands CIQ,JB Sentral,132
2022-06-29,09:00,Woodlands CIQ,JB Sentral,244
2022-06-29,10:00,JB Sentral,Woodlands CIQ,115
2022-06-29,11:00,JB Sentral,Woodlands CIQ,86
2022-06-29,11:00,Woodlands CIQ,JB Sentral,241
2022-06-29,12:00,JB Sentral,Woodlands CIQ,78
2022-06-29,12:00,Woodlands CIQ,JB Sentral,137
2022-06-29,13:00,Woodlands CIQ,JB Sentral,96
2022-06-29,14:00,JB Sentral,Woodlands CIQ,117
2022-06-29,15:00,JB Sentral,Woodlands CIQ,167
2022-06-29,15:00,Woodlands CIQ,JB Sentral,63
2022-06-29,16:00,JB Sentral,Woodlands CIQ,241
2022-06-29,16:00,Woodlands CIQ,JB Sentral,66
2022-06-29,17:00,JB Sentral,Woodlands CIQ,241
2022-06-29,17:00,Woodlands CIQ,JB Sentral,85
2022-06-29,18:00,Woodlands CIQ,JB Sentral,207
2022-06-29,19:00,JB Sentral,Woodlands CIQ,240
2022-06-29,20:00,JB Sentral,Woodlands CIQ,241
2022-06-29,20:00,Woodlands CIQ,JB Sentral,164
2022-06-29,21:00,JB Sentral,Woodlands CIQ,244
2022-06-29,21:00,Woodlands CIQ,JB Sentral,92
2022-06-29,22:00,JB Sentral,Woodlands CIQ,191
2022-06-29,22:00,Woodlands CIQ,JB Sentral,59
2022-06-29,23:00,Woodlands CIQ,JB Sentral,28
2022-06-30,05:00,JB Sentral,Woodlands CIQ,260
2022-06-30,06:00,JB Sentral,Woodlands CIQ,477
2022-06-30,07:00,JB Sentral,Woodlands CIQ,480
