date,state,sex,age,registrations
2021-03-14,Malaysia,female,85+,63
2021-03-14,Malaysia,male,0-12,44
2021-03-14,Malaysia,male,12-17,773
2021-03-14,Malaysia,male,18-24,5553
2021-03-14,Malaysia,male,25-29,4847
2021-03-14,Malaysia,male,30-34,4471
2021-03-14,Malaysia,male,35-39,4281
2021-03-14,Malaysia,male,40-44,3767
2021-03-14,Malaysia,male,45-49,3472
2021-03-14,Malaysia,male,50-54,3312
2021-03-14,Malaysia,male,55-59,3382
2021-03-14,Malaysia,male,60-64,2870
2021-03-14,Malaysia,male,65-69,2178
2021-03-14,Malaysia,male,70-74,1273
2021-03-14,Malaysia,male,75-79,528
2021-03-14,Malaysia,male,80-84,236
2021-03-14,Malaysia,male,85+,63
2021-03-15,Malaysia,female,0-12,36
2021-03-15,Malaysia,female,12-17,933
