series,date,section,index,index_sa
abs,2025-07-01,C,116.4,
abs,2025-08-01,C,116.2,
abs,2025-09-01,C,116.5,
abs,2025-10-01,C,116.9,
abs,2025-11-01,C,117.2,
abs,2025-12-01,C,117.3,
abs,2026-01-01,C,117.1,
abs,2026-02-01,C,116.2,
abs,2026-03-01,C,118.2,
abs,2026-04-01,C,119.8,
abs,2026-05-01,C,122.0,
abs,2026-06-01,C,124.9,
abs,2026-07-01,C,125.9,
growth_yoy,2011-01-01,C,7.287,
growth_yoy,2011-02-01,C,8.485,
growth_yoy,2011-03-01,C,9.274,
growth_yoy,2011-04-01,C,10.473,
growth_yoy,2011-05-01,C,10.22,
growth_yoy,2011-06-01,C,10.542,
growth_yoy,2011-07-01,C,11.021,
growth_yoy,2011-08-01,C,10.585,
growth_yoy,2011-09-01,C,9.519,
growth_yoy,2011-10-01,C,9.51,
growth_yoy,2011-11-01,C,6.458,
growth_yoy,2011-12-01,C,4.89,
growth_yoy,2012-01-01,C,3.679,
growth_yoy,2012-02-01,C,2.328,
growth_yoy,2012-03-01,C,1.661,
growth_yoy,2012-04-01,C,1.367,
growth_yoy,2012-05-01,C,1.182,
growth_yoy,2012-06-01,C,-0.272,
growth_yoy,2012-07-01,C,0.091,
growth_yoy,2012-08-01,C,0.091,
growth_yoy,2012-09-01,C,-1.372,
growth_yoy,2012-10-01,C,-2.468,
growth_yoy,2012-11-01,C,-2.482,
growth_yoy,2012-12-01,C,-3.291,
growth_yoy,2013-01-01,C,-3.64,
growth_yoy,2013-02-01,C,-2.821,
growth_yoy,2013-03-01,C,-3.448,
growth_yoy,2013-04-01,C,-4.946,
growth_yoy,2013-05-01,C,-5.391,
growth_yoy,2013-06-01,C,-3.916,
growth_yoy,2013-07-01,C,-3.913,
growth_yoy,2013-08-01,C,-3.37,
growth_yoy,2013-09-01,C,-1.113,
growth_yoy,2013-10-01,C,0.0,
growth_yoy,2013-11-01,C,1.131,
growth_yoy,2013-12-01,C,3.403,
growth_yoy,2014-01-01,C,3.211,
growth_yoy,2014-02-01,C,2.715,
growth_yoy,2014-03-01,C,3.571,
growth_yoy,2014-04-01,C,4.163,
growth_yoy,2014-05-01,C,3.609,
growth_yoy,2014-06-01,C,2.938,
growth_yoy,2014-07-01,C,3.125,
growth_yoy,2014-08-01,C,2.262,
growth_yoy,2014-09-01,C,1.501,
growth_yoy,2014-10-01,C,0.75,
growth_yoy,2014-11-01,C,0.28,
growth_yoy,2014-12-01,C,-3.016,
growth_yoy,2015-01-01,C,-2.653,
growth_yoy,2015-02-01,C,-3.191,
growth_yoy,2015-03-01,C,-4.083,
growth_yoy,2015-04-01,C,-5.177,
growth_yoy,2015-05-01,C,-5.591,
growth_yoy,2015-06-01,C,-4.328,
growth_yoy,2015-07-01,C,-4.408,
growth_yoy,2015-08-01,C,-4.147,
growth_yoy,2015-09-01,C,-2.773,
growth_yoy,2015-10-01,C,-1.953,
growth_yoy,2015-11-01,C,-2.323,
growth_yoy,2015-12-01,C,-2.168,
growth_yoy,2016-01-01,C,-2.82,
growth_yoy,2016-02-01,C,-3.202,
growth_yoy,2016-03-01,C,-2.838,
growth_yoy,2016-04-01,C,-1.341,
growth_yoy,2016-05-01,C,-1.262,
growth_yoy,2016-06-01,C,-1.732,
growth_yoy,2016-07-01,C,-2.017,
growth_yoy,2016-08-01,C,-1.635,
growth_yoy,2016-09-01,C,-1.141,
growth_yoy,2016-10-01,C,-0.854,
growth_yoy,2016-11-01,C,0.571,
growth_yoy,2016-12-01,C,3.661,
growth_yoy,2017-01-01,C,5.609,
