state,district,stage,sex,date,students
Johor,Kluang,post_secondary,both,2021-01-01,704
Johor,Kluang,post_secondary,both,2022-01-01,759
Johor,Kluang,post_secondary,both,2023-06-30,840
Johor,Kluang,post_secondary,both,2024-06-30,821
Johor,Kluang,post_secondary,both,2025-06-30,1094
Johor,Kluang,post_secondary,female,2018-01-01,837
Johor,Kluang,post_secondary,female,2019-01-01,745
Johor,Kluang,post_secondary,female,2020-01-01,377
Johor,Kluang,post_secondary,female,2021-01-01,352
Johor,Kluang,post_secondary,female,2022-01-01,354
Johor,Kluang,post_secondary,female,2023-06-30,358
Johor,Kluang,post_secondary,female,2024-06-30,376
Johor,Kluang,post_secondary,female,2025-06-30,565
Johor,Kluang,post_secondary,male,2018-01-01,612
Johor,Kluang,post_secondary,male,2019-01-01,579
Johor,Kluang,post_secondary,male,2020-01-01,418
Johor,Kluang,post_secondary,male,2021-01-01,352
Johor,Kluang,post_secondary,male,2022-01-01,405
Johor,Kluang,post_secondary,male,2023-06-30,482
Johor,Kluang,post_secondary,male,2024-06-30,445
Johor,Kluang,post_secondary,male,2025-06-30,529
Johor,Kota Tinggi,primary,both,2017-01-01,17870
Johor,Kota Tinggi,primary,both,2018-01-01,21503
Johor,Kota Tinggi,primary,both,2019-01-01,21719
Johor,Kota Tinggi,primary,both,2020-01-01,21829
Johor,Kota Tinggi,primary,both,2021-01-01,22215
Johor,Kota Tinggi,primary,both,2022-01-01,22477
Johor,Kota Tinggi,primary,both,2023-06-30,19403
Johor,Kota Tinggi,primary,both,2024-06-30,19511
Johor,Kota Tinggi,primary,both,2025-06-30,19858
Johor,Kota Tinggi,primary,female,2017-01-01,8556
Johor,Kota Tinggi,primary,female,2018-01-01,10264
Johor,Kota Tinggi,primary,female,2019-01-01,10442
Johor,Kota Tinggi,primary,female,2020-01-01,10469
Johor,Kota Tinggi,primary,female,2021-01-01,10729
Johor,Kota Tinggi,primary,female,2022-01-01,10975
Johor,Kota Tinggi,primary,female,2023-06-30,9498
Johor,Kota Tinggi,primary,female,2024-06-30,9542
Johor,Kota Tinggi,primary,female,2025-06-30,9708
Johor,Kota Tinggi,primary,male,2017-01-01,9314
Johor,Kota Tinggi,primary,male,2018-01-01,11239
Johor,Kota Tinggi,primary,male,2019-01-01,11277
Johor,Kota Tinggi,primary,male,2020-01-01,11360
Johor,Kota Tinggi,primary,male,2021-01-01,11486
Johor,Kota Tinggi,primary,male,2022-01-01,11502
Johor,Kota Tinggi,primary,male,2023-06-30,9905
Johor,Kota Tinggi,primary,male,2024-06-30,9969
Johor,Kota Tinggi,primary,male,2025-06-30,10150
Johor,Kota Tinggi,secondary,both,2017-01-01,16064
Johor,Kota Tinggi,secondary,both,2018-01-01,17212
Johor,Kota Tinggi,secondary,both,2019-01-01,16925
Johor,Kota Tinggi,secondary,both,2020-01-01,17091
