date,state,education,addicts
2020-01-01,Sarawak,tertiary,2
2021-01-01,Selangor,tertiary,38
2022-01-01,Selangor,tertiary,49
2023-01-01,Selangor,tertiary,32
2019-01-01,Selangor,tertiary,24
2020-01-01,Selangor,tertiary,19
2021-01-01,Terengganu,tertiary,9
2022-01-01,Terengganu,tertiary,13
2023-01-01,Terengganu,tertiary,8
2019-01-01,Terengganu,tertiary,12
2020-01-01,Terengganu,tertiary,4
2021-01-01,W.P. Kuala Lumpur,tertiary,12
2022-01-01,W.P. Kuala Lumpur,tertiary,19
2023-01-01,W.P. Kuala Lumpur,tertiary,28
2019-01-01,W.P. Kuala Lumpur,tertiary,7
2020-01-01,W.P. Kuala Lumpur,tertiary,10
2021-01-01,W.P. Labuan,tertiary,1
2022-01-01,W.P. Labuan,tertiary,
2023-01-01,W.P. Labuan,tertiary,
2019-01-01,W.P. Labuan,tertiary,2
2020-01-01,W.P. Labuan,tertiary,2
2021-01-01,W.P. Putrajaya,tertiary,
2022-01-01,W.P. Putrajaya,tertiary,2
2023-01-01,W.P. Putrajaya,tertiary,
2019-01-01,W.P. Putrajaya,tertiary,2
2020-01-01,W.P. Putrajaya,tertiary,
2020-01-01,Malaysia,others,717
2021-01-01,Malaysia,others,658
2023-01-01,Malaysia,others,996
2020-01-01,Malaysia,others,717
2019-01-01,Malaysia,others,810
2018-01-01,Malaysia,others,720
2017-01-01,Malaysia,others,656
2016-01-01,Malaysia,others,731
2021-01-01,Johor,others,65
2022-01-01,Johor,others,102
2023-01-01,Johor,others,91
2019-01-01,Johor,others,64
2020-01-01,Johor,others,71
2019-01-01,Kedah,others,107
2020-01-01,Kedah,others,92
2021-01-01,Kedah,others,59
2022-01-01,Kedah,others,106
2023-01-01,Kedah,others,122
2021-01-01,Kelantan,others,61
2022-01-01,Kelantan,others,80
2023-01-01,Kelantan,others,94
2019-01-01,Kelantan,others,84
2020-01-01,Kelantan,others,55
2021-01-01,Melaka,others,24
2022-01-01,Melaka,others,29
