date,category,function,value
2019-04-01,economy,utilities,256
2019-07-01,economy,utilities,562
2019-10-01,economy,utilities,1286
2020-01-01,economy,utilities,368
2020-04-01,economy,utilities,286
2020-07-01,economy,utilities,550
2020-10-01,economy,utilities,1111
2021-01-01,economy,utilities,574
2021-04-01,economy,utilities,364
2021-07-01,economy,utilities,469
2021-10-01,economy,utilities,708
2022-01-01,economy,utilities,321
2022-04-01,economy,utilities,455
2022-07-01,economy,utilities,517
2022-10-01,economy,utilities,1067
2023-01-01,economy,utilities,258
2023-04-01,economy,utilities,341
2023-07-01,economy,utilities,415
2023-10-01,economy,utilities,1360
2024-01-01,economy,utilities,255
1996-01-01,economy,other,7
1996-04-01,economy,other,8
1996-07-01,economy,other,9
1996-10-01,economy,other,12
1997-01-01,economy,other,2
1997-04-01,economy,other,11
1997-07-01,economy,other,11
1997-10-01,economy,other,13
1998-01-01,economy,other,1
1998-04-01,economy,other,6
1998-07-01,economy,other,6
1998-10-01,economy,other,13
1999-01-01,economy,other,1
1999-04-01,economy,other,91
1999-07-01,economy,other,92
1999-10-01,economy,other,156
2000-01-01,economy,other,64
2000-04-01,economy,other,30
2000-07-01,economy,other,109
2000-10-01,economy,other,205
2001-01-01,economy,other,12
2001-04-01,economy,other,75
2001-07-01,economy,other,28
2001-10-01,economy,other,252
2002-01-01,economy,other,7
2002-04-01,economy,other,69
2002-07-01,economy,other,145
2002-10-01,economy,other,166
2003-01-01,economy,other,62
2003-04-01,economy,other,72
2003-07-01,economy,other,95
2003-10-01,economy,other,215
2004-01-01,economy,other,33
2004-04-01,economy,other,67
2004-07-01,economy,other,33
2004-10-01,economy,other,60
2005-01-01,economy,other,1
2005-04-01,economy,other,1
2005-07-01,economy,other,22
2005-10-01,economy,other,88
2006-01-01,economy,other,1
2006-04-01,economy,other,1
2006-07-01,economy,other,9
2006-10-01,economy,other,9
2007-01-01,economy,other,10
2007-04-01,economy,other,4
2007-07-01,economy,other,96
2007-10-01,economy,other,402
2008-01-01,economy,other,28
2008-04-01,economy,other,32
2008-07-01,economy,other,55
2008-10-01,economy,other,466
2009-01-01,economy,other,1362
2009-04-01,economy,other,474
2009-07-01,economy,other,1239
2009-10-01,economy,other,593
2010-01-01,economy,other,466
2010-04-01,economy,other,1945
2010-07-01,economy,other,490
2010-10-01,economy,other,-639
2011-01-01,economy,other,87
2011-04-01,economy,other,528
2011-07-01,economy,other,1061
2011-10-01,economy,other,834
2012-01-01,economy,other,508
2012-04-01,economy,other,1751
2012-07-01,economy,other,1989
2012-10-01,economy,other,2155
2013-01-01,economy,other,1132
2013-04-01,economy,other,494
2013-07-01,economy,other,1042
2013-10-01,economy,other,1557
2014-01-01,economy,other,408
